,Name
0,O'Neil L. Smith
1,Huda Alamri
2,John R. Copeland
3,Byungki Byun
4,Gauri M. Jog
5,Selcuk Bayraktar
6,W. Huang
7,Linxuan Huo
8,Glenn Gilman
9,R. Elizabeth Brewster
10,Bhart Indu
11,Robert Walters
12,Olga Shchepelina
13,Aradhya Biswas
14,Jared Tippens
15,Zhaoyuan Gu
16,Karim Diff
17,Chien-Fu Jeff Wu
18,Soumitry J. Ray
19,L. Wang
20,Jan von Milczewski
21,Abhilasha Saroj
22,A. Sugavanam
23,L. J. Dicarlo
24,Xian Yong Wang
25,Christopher W. Moore
26,D. L. Patel
27,Parveen Sood
28,Ivy Chang
29,Audrey Southerland
30,Nathan E. Bunderson
31,Brigitte Stepanov
32,Steven Francis Orpurt
33,Alejandro J. Da Silva Sanchez
34,S. Fike
35,Alek Gavrilovski
36,Koushyar Rajavi
37,Gregory J. Daviero
38,Terry Nelms
39,Nahum Z. Medalia
40,Neil H. Wade
41,A. Moschel
42,Taylor McLachlan
43,Amy Ingles
44,Manish D. Dighe
45,Thomas R. Newton
46,Brian Walker
47,Younggyun Koh
48,Stephen Charles Havlicek
49,Adrian Rivera Cardoso
50,Shreyas S. Athavale
51,Gagik Amirkhanyan
52,Matthew Cox
53,Lauren D. C. Casa
54,Yong I. Choi
55,Donita A. Phipps
56,J. R. Twist
57,Amarendra Atre
58,Alexandra Trani
59,David R. Morehead
60,Marcus S Bray
61,Laura Anne Ledsinger
62,Pranav P. Kalelkar
63,Terry H. Stevenson
64,Mark Wasikowski
65,Sagar Suhas Joshi
66,Kevin D. Kubista
67,Yimeng Lyu
68,S. Subramanian
69,Gareeyasee Saha
70,Frederik Rudolph
71,Burak Bagdatli
72,Maren Klawiter
73,Brian Simpson
74,Souvik Dihidar
75,LaVonda Brown
76,Gordon Greene Hastings
77,Katherine L. Boice
78,H. Aydinoglu
79,K. Daniel Cooksey
80,Colton M. Moran
81,Syed Minhaj Hassan
82,Mohamad H. Kassaee
83,Victor Emeli
84,A. Bibik
85,Weiming Gu
86,James Baugh
87,Pavithra Chandramowlishwaran
88,Fred Cowan
89,Radford Mitchell
90,Tae-Jung Yun
91,Caleb Southern
92,O. A. Collins
93,F. Delmotte
94,S. J. Deal
95,Shruti Lall
96,Shih-Yang Wu
97,Justin J. Gambone
98,Steven J. Frey
99,Nivedita Arora
100,Jared C. Delahanty
101,Shen-Jie Wang
102,Carl L. Chalek
103,Guy M. Burrow
104,D. W. Covington
105,Thomas H. Longfield
106,Jason Poovey
107,D. R. Lamm
108,P. Galle
109,E. Nelson
110,C. Karen Liu
111,Kwang Lim Choi
112,Kelly M. Nicholson
