,Name,ID
0,O'Neil L. Smith,https://openalex.org/A5014976613
1,Huda Alamri,https://openalex.org/A5015398354
2,John R. Copeland,https://openalex.org/A5015624023
3,Byungki Byun,https://openalex.org/A5016174356
4,Gauri M. Jog,https://openalex.org/A5016543882
5,Selcuk Bayraktar,https://openalex.org/A5017078362
6,W. Huang,https://openalex.org/A5017142020
7,Linxuan Huo,https://openalex.org/A5017990522
8,Glenn Gilman,https://openalex.org/A5018579993
9,R. Elizabeth Brewster,https://openalex.org/A5018602520
10,Bhart Indu,https://openalex.org/A5018733850
11,Robert Walters,https://openalex.org/A5019037566
12,Olga Shchepelina,https://openalex.org/A5019388005
13,Aradhya Biswas,https://openalex.org/A5020919984
14,Jared Tippens,https://openalex.org/A5021905906
15,Zhaoyuan Gu,https://openalex.org/A5022169367
16,Karim Diff,https://openalex.org/A5022267025
17,Chien-Fu Jeff Wu,https://openalex.org/A5022277397
18,Soumitry J. Ray,https://openalex.org/A5023029310
19,L. Wang,https://openalex.org/A5024544030
20,Jan von Milczewski,https://openalex.org/A5024564459
21,Abhilasha Saroj,https://openalex.org/A5025620320
22,A. Sugavanam,https://openalex.org/A5026058916
23,L. J. Dicarlo,https://openalex.org/A5026081841
24,Xian Yong Wang,https://openalex.org/A5026320418
25,Christopher W. Moore,https://openalex.org/A5026394746
26,D. L. Patel,https://openalex.org/A5028524970
27,Parveen Sood,https://openalex.org/A5028590185
28,Ivy Chang,https://openalex.org/A5028684074
29,Audrey Southerland,https://openalex.org/A5028983123
30,Nathan E. Bunderson,https://openalex.org/A5029704140
31,Brigitte Stepanov,https://openalex.org/A5029822136
32,Steven Francis Orpurt,https://openalex.org/A5029831583
33,Alejandro J. Da Silva Sanchez,https://openalex.org/A5030284586
34,S. Fike,https://openalex.org/A5030758877
35,Alek Gavrilovski,https://openalex.org/A5030786406
36,Koushyar Rajavi,https://openalex.org/A5031076303
37,Gregory J. Daviero,https://openalex.org/A5031299873
38,Terry Nelms,https://openalex.org/A5032378858
39,Nahum Z. Medalia,https://openalex.org/A5033125247
40,Neil H. Wade,https://openalex.org/A5034071296
41,A. Moschel,https://openalex.org/A5034806184
42,Taylor McLachlan,https://openalex.org/A5035085999
43,Amy Ingles,https://openalex.org/A5035513473
44,Manish D. Dighe,https://openalex.org/A5035906874
45,Thomas R. Newton,https://openalex.org/A5036295094
46,Brian Walker,https://openalex.org/A5036587601
47,Younggyun Koh,https://openalex.org/A5036970438
48,Stephen Charles Havlicek,https://openalex.org/A5037837717
49,Adrian Rivera Cardoso,https://openalex.org/A5038304094
50,Shreyas S. Athavale,https://openalex.org/A5038384176
51,Gagik Amirkhanyan,https://openalex.org/A5038942363
52,Matthew Cox,https://openalex.org/A5039411576
53,Lauren D. C. Casa,https://openalex.org/A5039646929
54,Yong I. Choi,https://openalex.org/A5039907775
55,Donita A. Phipps,https://openalex.org/A5041712890
56,J. R. Twist,https://openalex.org/A5042858578
57,Amarendra Atre,https://openalex.org/A5042986349
58,Alexandra Trani,https://openalex.org/A5043332697
59,David R. Morehead,https://openalex.org/A5043906643
60,Marcus S Bray,https://openalex.org/A5044059167
61,Laura Anne Ledsinger,https://openalex.org/A5044238491
62,Pranav P. Kalelkar,https://openalex.org/A5044339369
63,Terry H. Stevenson,https://openalex.org/A5044387121
64,Mark Wasikowski,https://openalex.org/A5044403556
65,Sagar Suhas Joshi,https://openalex.org/A5045485527
66,Kevin D. Kubista,https://openalex.org/A5045738814
67,Yimeng Lyu,https://openalex.org/A5046107056
68,S. Subramanian,https://openalex.org/A5046314983
69,Gareeyasee Saha,https://openalex.org/A5047017734
70,Frederik Rudolph,https://openalex.org/A5047695741
71,Burak Bagdatli,https://openalex.org/A5048259930
72,Maren Klawiter,https://openalex.org/A5048586358
73,Brian Simpson,https://openalex.org/A5048784619
74,Souvik Dihidar,https://openalex.org/A5048814550
75,LaVonda Brown,https://openalex.org/A5048916155
76,Gordon Greene Hastings,https://openalex.org/A5049275154
77,Katherine L. Boice,https://openalex.org/A5049457780
78,H. Aydinoglu,https://openalex.org/A5050221088
79,K. Daniel Cooksey,https://openalex.org/A5051073861
80,Colton M. Moran,https://openalex.org/A5051213152
81,Syed Minhaj Hassan,https://openalex.org/A5051612984
82,Mohamad H. Kassaee,https://openalex.org/A5052049766
83,Victor Emeli,https://openalex.org/A5052051700
84,A. Bibik,https://openalex.org/A5052237323
85,Weiming Gu,https://openalex.org/A5052820602
86,James Baugh,https://openalex.org/A5054687765
87,Pavithra Chandramowlishwaran,https://openalex.org/A5054951643
88,Fred Cowan,https://openalex.org/A5055465239
89,Radford Mitchell,https://openalex.org/A5056131735
90,Tae-Jung Yun,https://openalex.org/A5056718403
91,Caleb Southern,https://openalex.org/A5056949252
92,O. A. Collins,https://openalex.org/A5057243456
93,F. Delmotte,https://openalex.org/A5057264016
94,S. J. Deal,https://openalex.org/A5057770448
95,Shruti Lall,https://openalex.org/A5057801979
96,Shih-Yang Wu,https://openalex.org/A5057981790
97,Justin J. Gambone,https://openalex.org/A5058363200
98,Steven J. Frey,https://openalex.org/A5058502607
99,Nivedita Arora,https://openalex.org/A5058721174
100,Jared C. Delahanty,https://openalex.org/A5058884582
101,Shen-Jie Wang,https://openalex.org/A5058948493
102,Carl L. Chalek,https://openalex.org/A5059281338
103,Guy M. Burrow,https://openalex.org/A5059352255
104,D. W. Covington,https://openalex.org/A5059724895
105,Thomas H. Longfield,https://openalex.org/A5060275015
106,Jason Poovey,https://openalex.org/A5060312275
107,D. R. Lamm,https://openalex.org/A5060470932
108,P. Galle,https://openalex.org/A5060531460
109,E. Nelson,https://openalex.org/A5060903774
110,C. Karen Liu,https://openalex.org/A5061025203
111,Kwang Lim Choi,https://openalex.org/A5061192976
112,Kelly M. Nicholson,https://openalex.org/A5061646819
113,David T. Coleman,https://openalex.org/A5062029836
114,Alma D. Castañeda,https://openalex.org/A5062548890
115,Binh Vien Dao,https://openalex.org/A5063188009
116,Dane F. Freeman,https://openalex.org/A5063744780
117,D. Michael Sobers,https://openalex.org/A5065192390
118,Siawpeng Er,https://openalex.org/A5065649822
119,Yeu Wei Harn,https://openalex.org/A5065853374
120,Kara Cohen,https://openalex.org/A5065949656
121,Stephan Turano,https://openalex.org/A5066623091
122,John G. Bustamante,https://openalex.org/A5066886932
123,Janine Johnson,https://openalex.org/A5066986793
124,S. Ivanov,https://openalex.org/A5067277387
125,Xuetian Ma,https://openalex.org/A5067852119
126,Sham Navathe,https://openalex.org/A5068674114
127,Andrew Coffey,https://openalex.org/A5068813837
128,R. Richard Plaskon,https://openalex.org/A5069043008
129,William M. Parks,https://openalex.org/A5069437930
130,Bounghun Bock,https://openalex.org/A5069625829
131,Benay Sager,https://openalex.org/A5070203038
132,Joseph W. Monaco,https://openalex.org/A5070240639
